3D holography,"Realität: Das Hologramm der Träume.","Karl Heinz Karius"
Democracy,"Die Demokratie ist die schlechteste aller Staatsformen, ausgenommen alle anderen.","Winston Churchill"
Desert eagle,"Mit einem freundlichen Wort und einer Pistole kann man mehr erreichen, als nur mit einem freundlichen Wort.","Al Capone"
Desert eagle,"Wir machen uns ein gemeinsames Weihnachtsgeschenk, Peg! Ich kauf mir ne Knarre und du bekommst die Kugel!","Al Bundy"
Dictatorship,"Eine Diktatur ist eine Regierung, bei der man in Gefahr gerät, sitzen zu müssen, wenn man nicht hinter ihr stehen will.","Stanislaw Jerzy Lec"
Dictatorship,"Wer sagt: hier herrscht Freiheit, der lügt, denn Freiheit herrscht nicht.","Erich Fried"
Diseases,"Das Leben ist voller Leid, Krankheit, Schmerz – und zu kurz ist es ubrigens auch...","Woody Allen"
Diseases,"Es gibt 1000 Krankheiten, aber nur eine Gesundheit.","Arthur Schopenhauer"
Diseases,"Sport: eine Methode, Krankheiten durch Unfälle zu ersetzen.",""
Disintegrator,"Massenvernichtungswaffen: Krebs, Kredite, Kfz und Kernkraftwerke - wozu noch Krieg?","Guy Néchois"
Disintegrator,"Perpetuum mobile: Die Vernichtung der Vernichtung geht nicht ohne die Vernichtung.","Dr. Sigbert Latzel"
Dove,"Den Raben lässt man fliegen, - Die Taube muss es kriegen.",""
Dove,"Man muss begreifen, dass man manchmal Taube und manchmal Denkmal ist.","Richard Tauber"
Dove,"Schützt die Vögel! Die Taube bringt uns den Frieden und der Storch Steuerermäßigung.","Bob Hope"
Earthquake,"Man kann einen Krieg genauso wenig gewinnen wie ein Erdbeben.","Jeannette Rankin"
Empire,"Je mehr man sich mit der lateinischen Sprache befaßt, desto klarer wird es einem, warum das Römische Reich untergegangen ist.","Edward Stanley Gibbons"
Empire,"Nicht, was ich habe, sondern was ich schaffe, ist mein Reich.","Samuel Smiles"
Epidemic,"Die Moden sind eigentlich nur eingeführte Epidemien.","George Bernard Shaw"
Epidemic,"Managerkrankheit: eine Epidemie, die durch den Uhrzeiger hervorgerufen und durch den Terminkalender übertragen wird.","John Steinbeck"
Flamethrower,"In dir muß brennen, was du in anderen entzünden willst.","Augustinus Aurelius"
Flamethrower,"Wir verbrennen zwar keine Hexen mehr, aber dafürjeden Brief, worin eine derbe Wahrheit gesagt ist.",""
Force field,"Der Wille ist der Magnet, in dessen Kraftfeld die Leistung steht.","Erich Ellinger"
Force field,"Die Liebe mag ein weites Feld sein, aber sie ist vor allem ein Kraftfeld.","Thomas Häntsch"
Force field,"Gegensätze ziehen sich nicht nur an, sie bilden auch rasch ganze Generationen von neuen Kraftfeldern.",""
Frankenstein,"Jeder weint um King Kong, keiner weint um mich. Ein schwacher Trost kann hier nur sein:ähnlich geht es Frankenstein.","KarlHeinz Karius"
Frankenstein,"Wir leben in einer newtonschen Welt einsteinscher Physik, die von frankensteinscher Logik regiert wird.","David Russel"
Friendship,"Der Freund ist einer, der alles von dir weiß, und der dich trotzdem liebt.","Elbert Hubbard"
Friendship,"Freundschaft ist nicht nur ein köstliches Geschenk, sondern auch eine dauernde Aufgabe.","Ernst Zacharias"
Friendship,"Freundschaft ist wie Geld, leichter gewonnen als erhalten.","Samuel Butler"
Gambling,"Das Leben wird und bleibt nie ein Glücksspiel, mit Glückes Ernst arrangiert es ich jedoch viel eher.",""
Gambling,"Glücksspiele werden verboten - das längste ausgenommen, das Leben.","Jean Paul"
Gambling,"Gott würfelt nicht.","Albert Einstein"
Hand grenade,"Das Leben ist wie eine Kiste Handgranaten. Man erfährt nie was einen in Stücke gerissen hat.","Mario Puzo"
Hand grenade,"Der Unterschied zwischen einer Handgranate und einem Schriftsteller: Die Handgranate wird mit einem Stift ge-, der Schriftsteller entsichert.","Wolfgang J. Reus"
Heavens,"Wir leben alle unter dem gleichen Himmel, aber wir haben nicht alle den gleichen Horizont.","Konrad Adenauer"
Hydra,"Der Haß ist wie eine Hydra: je mehr du sie klopfst, desto stärker wird sie.","Andrzej Majewski"
Hydra,"Die imaginäre Hydra hat die meisten Köpfe.","Pavel Kosorin"
Hydra,"In jeder Religion steckt viel Dummheit. Und mit jedem Fundamentalisten bekommt die Hydra einen Kopf mehr.","Johannes Diethart"
Inferno,"Der Weg zur Hölle ist mit guten Vorsätzen gepflastert.",""
Inferno,"Sartre: ""Die Hölle sind die Anderen.""\nKlarstellung: ""Die Anderen sind der Ausweg.""","Georg Skrypzak"
Inferno,"Wenn du durch die Hölle gehst, geh weiter.","Winston Churchill"
Kronos,"Wie schnell, o Chronos rollet dein Wagen","Christian Friedrich Daniel Schubart"
Land mine,"Die modernen Menschen sind klüger als Sisyph, statt den Stein Hochzuwälzen - sprengen sie den Berg mit Dynamit.","Andrzej Majewski"
Land mine,"Wer seine Grenzen sprengen will, geht mit Zündstoff um.","Michael Rumpf"
Lawyer,"Erfahrene Juristen bezeugen, daß es vor Gericht von Vorteil sein kann, wenn man im Recht ist.","Graham Chapman"
Lawyer,"Es ist besser, daß einem der Medicus als der Jurist das Leben abspricht.",""
Lawyer,"Nie hat ein Dichter die Natur so frei ausgelegt, wie ein Jurist die Wirklichkeit.","Jean Gidoux"
Lawyer,"Ohne schlechte Menschen gäbe es keine guten Anwälte.","Charles Dickens"
Leather,"Aus fremdem Leder ist gut Riemen schneiden.",""
Leather,"Ein Feind von der Feder ist schlimmer als einer vom Leder.",""
Light saber,"Anakin: ""Es kam zu... agressiven Verhaldlungen""\nPadmé: ""Argressieve Verhadlungen?""\nAnakin: ""Verhandlungen mit einem Laserschwert""",""
Light saber,"Füllt nicht den heiligen Gral, schmiedet das Schwert Michaels.","Joachim Stiller"
Mammon,"Ihr könnt nicht beiden dienen, Gott und dem Mammon","Bibel (Matthäus 6,24)"
Medusa,"Dass am Mythos der Medusa nichts dran ist, beweist schon die Tatsache, dass sich all die bürgerlichen Gorgonenhäupter, wenn sie in den Spiegel sehen, eben nicht in Stein verwandeln!",""
Mutant,"Die Zeiten ändern sich und wir mit ihnen.","Ovid"
Mutant,"Waschechte Mutanten verstehen es gut, sich als evolutionäre Opfer zu verkaufen.",""
Napalm,"Benzin ist kein guter Saft für eine Feuertaufe.",""
Pegasus,"Das Paradies der Erde liegt auf dem Rücken der Pferde.","Friedrich von Bodenstedt"
Pegasus,"Ein Pferd!, ein Pferd! Mein Königreich für ein Pferd!","William Shakespeare"
Piranha,"Ein fauler Fisch verdirbt die ganze Küche.",""
Piranha,"Nach all den Jahren des Angelns nehmen die Fische jetzt Rache.","Queen Elizabeth"
Plasmagun,"Wenn ich zwischen dem Glauben und einer 9mm wählen sollte, dann würde ich meine Kanone nehmen.","Nacht ohne Morgen"
Plasmagun,"Wisst ihr, als ich ein Engel war, hatten wir Kanonen.","3 Engel für Charlie"
Poison gas,"Alle Dinge sind Gift, und nichts ist ohne Gift. Allein die Dosis macht, daß ein Ding kein Gift ist.","Philippus Theophrastus Paracelsus"
Poison gas,"Es kündet vom Sieg der künstlichen über die natürlichen Giftwaffen, das noch im Gange befindliche Plastezeitalter.",""
Poison gas,"Wenn ich wählen dürfte zwischen einem Pfund Liebe und einem Pfund Gift, würde ich das Gift nehmen, es wirkt nicht so schleichend.","Belinda Fuchs"
Politician,"Bevor das Volk ausgetauscht wird, sollte man die Politiker austauschen.","Jörg Haider"
Politician,"Der beste Platz für Politiker ist das Wahlplakat. Dort ist er tragbar, geräuschlos und leicht zu entfernen.","Loriot"
Politician,"Die Menschen folgen mit Vorliebe denen, die ihnen dienen und sie gleichzeitig verachten.","Samuel Butler"
Politician,"Je öfter sich ein Politiker widerspricht, desto größer ist er.","Friedrich Dürrenmatt"
Psycology,"Es gibt Psychologen, die in einer kurzen weißen Jacke arbeiten - hinter einer Bar.","Robert Lembke"
Razorvine,"Liebe ist wie der wilde Rosenstrauch, Freundschaft wie die Stechpalme. Die Stechpalme ist nichts, wenn die Rose blüht, aber welche blüht beständiger?",""
Sect,"Fanatismus ist das Paradies für eine Sekte.","John Keats"
Sect,"Warum gehen Ameisen nicht in die Kirche?\n- Weil sie in-Sekten sind.",""
Shub-Niggurath,"... Lä! Shub-Niggurath! Die schwarze Ziege der Wälder mit tausend Jungen!","H.P. Lovecraft, Träume im Hexenhaus"
Skeleton,"Amerika war ein jungfräuliches Land. Die Pioniere fanden nur die Knochen der von ihnen abgemurksten Rothäute.","Charles de Gaulle."
Skeleton,"Wer in einem blühenden Frauenkörper das Skelett zu sehen vermag, ist ein Philosoph.","Kurt Tucholsky"
Soul,"Eine gereinigte Seele ist nicht eine reine Seele.","Charles Péguy"
Space marine,"Das Marine Corps will keine Roboter, das Marine Corps will Killer!","Full Metal Jacket"
Space marine,"Ein Soldat, der anfängt zu denken, ist schon fast keiner mehr.","Heinrich Böll"
Space marine,"Gott gab es schon vor dem Marine Corps. Also schenkt eure Herzen ruhig Jesus. Aber euer Arsch gehört dem Marine Corps.","Full Metal Jacket"
Space marine,"Im Krieg gibt es keinen Ersatz für den Sieg.","Douglas MacArthur"
Space ship,"Erst Traumschiff, dann Raumschiff aus weniger haltbarem Stoff.","Manfred Hinrich"
Spell book,"Das gute Buch ist fast überall das verbotene Buch.","Claude-Adrien Helvetius"
Spell book,"Ich glaube, man sollte überhaupt nur solche Bücher lesen, die einen beißen und stechen.","Franz Kafka"
Spell book,"So etwas wie moralische oder unmoralische Bücher gibt es nicht. Bücher sind gut oder schlecht geschrieben. Weiter nichts.","Oscar Wilde"
Spore,"- Haben Sie irgendwelche Hobbies?\n - Ich sammle Sporen, Grünspan und Schimmelpilze","Ghostbusters"
Spore,"Alles, was der Natur gemäß geschieht, geschieht richtig.",""
Spore,"Das Gemeinsame an Mensch und Pilz ist die Winzigkeit ihrer Sporen.",""
Spore,"Die Natur muß gefühlt werden.","Alexander von Humboldt"
Styx,"Ich fühle mich oft wie ein Mann, der mit einem Bein auf dem Kai und mit dem anderen noch im Boot steht, während sich das Schiff langsam vom Ufer entfernt.",""
Styx,"Lege das Ruder erst dann nieder, wenn das Boot an Land ist!",""
Submarine,"Sorgen ertrinken nicht in Alkohol. Sie können schwimmen.","Heinz Rühmann"
Submarine,"Wenn die Steine schwimmen, versinken die Blatter.",""
Succubus,"Und reitend auf dem genannten Sukkubus, der seine Flügel ausbreitete, fühlte ich mich hingetragen durch die Lüfte, hoch über der Erde.",""
Suffering,"Das Gewissen ist die Wunde, die nie heilt und an der keiner stirbt.","Christian Friedrich Hebbel"
Suffering,"Das größte Leiden ist nicht die Angst vor dem Tod, sondern die Angst vor dem Leben.","Naguib Mahfouz"
Suffering,"Leidenschaft begeht keine Sünde, nur die Kalte.","Christian Friedrich Hebbel"
Surveillance,"Gewissen: die innere Stimme, die uns warnt, weil jemand zuschauen könnte","Henry Louis Mencken"
Surveillance,"Wo der Bürger keine Stimme hat, haben die Wände Ohren.",""
Surveillance,"Zum Schauen kommen sie hin. Sie kommen, damit man sie sehe.","Ovid"
Terrorism,"<F>Was ist der Unterschied zwischen einer Blondine wenn sie ihre Tage hat und einem Terroristen?\n<A>Mit einem Terroristen kann man verhandeln.",""
Terrorism,"<F>Wo ist der Unterschied zwischen Beamten und Terroristen?\n<A>Terroristen haben Sympathisanten und man kann Mit ihnen verhandeln.",""
TNT,"Gut ist es, wenn die Schwiegereltern fern und Wasser und Brennstoff nahe sind.",""
TNT,"Poesie ist Dynamit für alle Ordnungen dieser Welt.","Heinrich Böll"
Tsunami,"Die Erde ist ein gebildeter Stern mit sehr viel Wasserspülung.","Erich Kästner"
Tsunami,"Die Freiheit ist wie das Meer: Die einzelnen Wogen vermögen nicht viel, aber die Kraft der Brandung ist unwiderstehlich.","Václav Havel"
Vacuum bomb,"""Wir haben heute in Chemie einen Bombe hergestellt!"" ""Aha und was macht ihr morgen in der Schule?"" ""In welcher Schule?""",""
War,"Je stärker wir sind, desto unwahrscheinlicher ist der Krieg.","Otto von Bismarck"
War,"Nur die Toten haben das Ende des Krieges gesehen.","Plato"
War,"Politik: Krieg ohne Blutvergießen; Krieg ist Politik mit Blutvergießen.","Mao Tse-tung"
War,"Stell dir vor, es ist Krieg, und keiner geht hin.","Carl Sandburg"
Witch,"Eine Frau ist ein Engel mit zehn, eine Heilige mit fünfzehn, ein Teufel mit vierzig und eine Hexe mit achtzig.",""
Witch,"Rabe, Katze, Hexe... ein faszinierendes Trio!","Lilo Keller"
Witch,"Warum reiten Hexen einen Besen?\nStaubsauger haben nur eine begrenzte Reichweite.",""
Wolf,"Der Wolf wird älter, aber nicht besser.",""
Wolf,"Weckt den schlafenden Wolf nicht auf!",""
Wolf,"Wenn der Wolf altet, reiten ihn die Krähen.",""

Snow,"Wer will denn alles gleich ergründen! Sobald der Schnee schmilzt, wird sich's finden.","Johann Wolfgang von Goethe"
Snow,"Den Regen hört man fallen, den Schnee nicht.","Berthold Auerbach"
Xmastree,"Der Weihnachtsbaum war mütterlich geschmückt, die Kinder harrten mit Verlangen, und das Ersehnte wird herangerückt, das holde Feste wird glanzvoll früh begangen.","Johann Wolfgang von Goethe"
Xmastree,"Die Lichter brennen am Weihnachtsbaum, Waldnadelduft erfüllt den Raum. Wir lauschen der Stille. Der Frieden hält weitweiße Flügel über der Welt.","Richard von Schaukal"

Love bow,"Amors Pfeil hat Widerspitzen, wen er traf, der lass ihn sitzen und erduld ein wenig Schmerz!","Gottfried August Bürger"
Love bow,"So bringt ein Zufall Amor oft Gelingen: Den trifft sein Pfeil, den fängt er sich mit Schlingen.","William Shakespeare"

Postcard,"Was ist das Erste, wenn Herr und Frau Müller in den Himmel kommen? Sie bitten um Ansichtspostkarten.","Christian Morgenstern"
Postcard,"Manche Menschen reisen hauptsächlich in den Urlaub, um Ansichtskarten zu kaufen, obwohl es doch vernünftiger wäre, sich diese Karten kommen zu lassen.","Robert Musil"

Sheep,"Schafe besitzen ebenso wie Mungos und Oktopusse rechteckige Pupillen. ",
Sheep,"Schafe bewohnen beinahe jeden Kontinent. ",
Horse,"Es gibt weltweit fast 160 verschiedene Pferderassen. Ein Araber ist allerdings aufgrund seiner Reinrassigkeit einmalig. ",
Horse,"Pferde können verriegelte Tore der Einzäunungen ihrer mitgefangenen Artgenossen öffnen und sie freilassen. ",

Nest,"Eine deutsche Legende sagt, dass Osterhase lässt ein Nest von bemalten Eiern als Geschenk für gute Kinder." ,
Easter Egg,"Bemalte Eier sind der Oster begabt. Seit der Antike ist das Ei ein Symbol der Fruchtbarkeit und Wiedergeburt." ,
Rabbit,"Hasen findet man in jedem Land, das sie weltweit zu den weit verbreitetsten Säugetieren zählen.",
Rabbit,"Bei Regen pressen Hasen ihre Ohren an ihren Kopf, um sich vor der Nässe zu schützen und so Krankheiten zu vermeiden.",
Rabbit,"Die Hasenzähne wachsen unaufhörlich, werden aber durch die Nahrungsaufnahme abgeschliffen.",
Decorated house,"Ein festliches Winterhaus"
