3D holography,"Noi potremmo essere l'immagine olografica di una struttura a due dimensioni.","Brian Greene"
Weapon,"Quando un uomo con la pistola incontra un uomo col fucile, quello con la pistola è un uomo morto.","Per un pugno di dollari (film)"
Weapon,"Senza spada i patti non sono che parole.","Th.Hobbes"
Webcam,"Più cerchi di nascondere qualcosa a tua madre, più lei diventa come una webcam.","Sconosciuto"
Weeds,"Ave, o Acque divine, insondabili, purificatrici-di-tutto!","Taittirīyasa-hitā"
Weeds,"L'acqua non oppone resistenza. L'acqua scorre.","Margaret Atwood"
Werewolf,"Ascoltateli. I figli della notte... quale dolce musica emettono.","Dracula di Bram Stoker (film)"
Werewolf,"Il lupo cambia il pelo; ma non il vizio.","Proverbio"
Werewolf,"L'agnello cominciò a seguire il lupo nelle vesti di una pecora.","Esopo"
Werewolf,"Puoi addomesticare i cani col cibo, gli uomini con il denaro, ma i lupi non li addomestica nessuno!","Wolf's Rain (anime)"
Whale,"Mangiava il carpione e lo storione, il nasello e il pesce martello, il branzino e il delfino, i calamaretti e i gamberetti, la triglia e la conchiglia...","R.Kipling"
Whale,"Non balena sul Mar Grande né tuona.","G.D'Annunzio"
Wheat,"Poiché il cibo, sicuramente, previene la decadenza.","Maitrī"
Wheat,"Prima pane e poi religione.","Vivekananda"
Wheel,"Ci sono state tre grandi invenzioni nella storia dell'umanità: il fuoco, la ruota... e Playboy!","La vita secondo Jim (film)"
Wheel,"La vita è il carro di Dio e la morte è solo l'ombra della Sua frusta.","Isaac Bashevis Singer"
White russian,"Chi beve solo acqua ha un segreto da nascondere.","Charles Baudelaire"
White russian,"Per me l'acqua, se è buona, serve solo per lavare i piatti.","Carlo Porta"
White sail,"In basso, luccicante d'azzurro, c'era il fiume Hudson: una vela bianca bordeggiava mentre un tranquillo battello a vapore risaliva la corrente.","Ellery Queen"
Windows,"[Parlando del sistema operativo Windows] Poi quando chiudi il documento ti dice: ""vuoi salvare?"" Ma secondo te, pezzo di cretino?!","Luciana Littizzetto"
Wizard,"Nel passato, gli uomini creavano le streghe, ora creano malati mentali.","Thomas Szasz"
Wizard,"Sarebbe errato credere che gli uomini siano stati indotti a creare il loro prima sistema cosmico per sola tendenza speculativa.","Sigmund Freud"
Wizard,"Se vuoi la magia, togliti l'armatura! La magia è molto più forte dell'acciaio!","Richard Bach"
Woman,"A donna non si fa maggior dispetto, che quando o vecchia o brutta le vien detto.","L. Ariosto"
Woman,"Donne e buoi, de' paesi tuoi.","Proverbio toscano"
Woman,"Il cuore di una donna è un profondo oceano di segreti.","""Titanic"" (film)"
Woman,"Il nemico si comporta come una donna, poiché suo malgrado, è debole e vuole sembrar forte.","Ignazio di Loyola"
Woman,"Le donne bisogna trattarle come i tori: metterle alle corde senza che se ne accorgano. Il resto è facile.","""Matador"" (film)"
Wood,"Il legno è materia nobile e strana, non è più terra e carne non è ancora...","Luigi Santucci"
Wood,"Ogni legno ha il suo tarlo.","Proverbio"
Wool,"Il lavoro allontana da noi tre grandi mali: la noia, il vizio e il bisogno.","Voltaire"
Wool,"Oves et boves (pecore e buoi; tutti, anche chi c'entra poco).","Modo di dire latino"
Wool,"Si può passar sopra a un morso di lupo, ma non a un morso di pecora.","J.Joyce"
Work,"Il lavoro caccia i vizi derivanti dall'ozio.","Seneca"
Work,"Il lavoro è il rifugio di coloro che non hanno nulla di meglio da fare.","Oscar Wilde"
Work,"Il lavoro è tenue, ma darà non tenue gloria.","Virgilio"
Work,"Il lavoro intellettuale strappa l'uomo alla comunità umana. Il lavoro materiale, invece, conduce l'uomo verso gli uomini.","Franz Kafka"
Work,"Mi piace il lavoro, mi affascina. Potrei stare per ore seduto ad osservarlo…","Jerome K. Jerome"
Worm,"e l'uomo è un verme, io sono un verme solitario.","Anselmo Bucci"
Worm,"Un uomo può pescare con il verme che ha mangiato un re e mangiare il pesce che ha mangiato quel verme.","William Shakespeare"
Worm,"Un verme, a parte rare eccezioni, non e' un essere umano.","""Frankenstein Junior"" (film)"
Wrath,"La rabbia impotente fa miracoli.","Stanislaw J. Lec"
Wrath,"Le pallottole non possono essere chieste indietro. Non potevano non essere inventate. Ma possono essere tolte dai fucili.","Martin Amis"
Wrath,"Occhio per occhio, dente per dente.","Antico Testamento"
Wrath,"Se uccidere è un dovere, perché non farlo senza odio?","Avner"
WWW,"WWW? Un bel giocattolo, ma che perdita di tempo!","Bill Gates"
Yo-yo,"La vita è uno yo-yo, e gli uomini fanno nodi sul filo.","Sconosciuto"
Zeppelin,"Il dirigibile si aggira lento e maestoso e lento e maestoso. Gonfie le nuvole di fumo. Un albatro gagliardo e rauco, le ali invaghite di libero volo e il becco lucido in tanto sole.","Mario Cappolani"
Zipper,"Prima ti dimentichi i nomi, poi le facce, poi ti scordi di tirare su la cerniera, e alla fine ti dimentichi di tirarla giù.","Leo Rosenberg"
Zombie,"Del senno di poi son piene le fosse.","Proverbio"
Zombie,"Faranno dei cimiteri le loro cattedrali, e delle città le vostre tombe!","""Demoni"" (film)"
Zombie,"Incipit vita nova (comincia la vita nuova).","Dante, La vita nuova"
Zombie,"Ogni cultura assimila elementi di culture vicine o lontane, ma poi si caratterizza per il modo in cui li fa propri.","Umberto Eco"
Acid,"L'aceto è figlio del vino.","Talmud"
Acid,"Nella Coca-Cola non si mette più coca, ma ci sono acido fosforico e acido citrico per farla sembrare dissetante e creare un'assuefazione artificiale.","F. Beigbeder"
AI,"Kate: ""Vai a fare in culo, brutto stronzo!""\nTerminator: ""Non sono programmato a tal fine"".","""Terminator-3"" (film)"
AI,"La mia logica è innegabile! La mia logica è innegabile!","""Io, Robot"" (film)"
Armageddon,"Il futuro non e' fissato, il solo destino e' quello che ci creiamo noi.","Terminator-2 (film)"
Armageddon,"Qualunque paesaggio è uno stato d'animo.","Henri Frederich Amiel"
Army,"Alla fine è sempre un plotone di soldati a salvare la civiltà.","O. Spengler"
Army,"I vecchi soldati non muoiono mai, svaniscono lentamente.","Douglas MacArthur"
Astaroth,"Astaroth è un potente conte dell'inferno. Può dare risposte su passato, presente e futuro, e può scoprire ogni segreto. Comanda 40 legioni di spiriti.",""
Atheism,"Di notte un ateo crede quasi in un Dio.","Edward Young"
Atheism,"Mi è stato più facile pensare un mondo senza creatore, che un creatore pieno di tutte le contraddizioni del mondo.","Simone de Beauvoir"
Baal,"Elia si accostò a tutto il popolo e disse: ""Fino a quando zoppicherete con i due piedi? Se il Signore è Dio, seguitelo! Se invece lo è Baal, seguite lui!",""
Bat,"Il sangue è la vita.","Dracula"
Bat,"L'anima della terra è notturna, ma la luce del sole la nasconde più che non la nasconda la tenebra.","Gabriele D'Annunzio"
Battle cruiser,"Navigare nell'iperspazio non è come spargere fertilizzante da una aeroplano.","""Guerre stellari"" (film)"
BFG 9000,"La vita è piacevole. La morte è pacifica. È la transizione che crea dei problemi.","Isaac Asimov"
BFG 9000,"Non toccare quell'arma, non ti ha ucciso perchè non eri armata...è uno sportivo.","""Predator"" (film)"
Biological weapon,"I mulini di Dio macinano adagio, ma tanto più amare sono le semole.","Proverbio"
Bomb,"Adios imbecille!","Indiana Jones"
Bomb,"Non è che ho paura di morire. È che non vorrei essere lì quando succede.","Woody Allen"
Bomber,"E ho potere sopra la morte e sopra gli inferi.","Apocalisse 1:18"
Cannon,"Io non uso armi da fuoco, non faccio rumore.","Franco Forte"
Cellulose,"Gli strumenti del mestiere del matematico sono carta e penna.","Ian Stewart"
Cellulose,"Il cestino è il miglior amico dello scrittore.","Isaac Bashevis Singer"
Cerberus,"Il cane fedele riceve una museruola decorativa.","Stanislaw J. Lec"
Cerberus,"Mostrami il tuo cane e ti dirò chi sei.","Riccardo Bacchelli"
Chemical weapon,"Ho pensato che il posto che ti fa sentire che non c'è vita dopo la morte è il cimitero.","""Final Destination 3"" (film)"
Chimera,"Era il mostro di origine divina, leone la testa, il petto capra, e drago la coda; e dalla bocca orrende vampe vomitava di foco: e nondimeno, col favor degli Dei, l'eroe la spense",""
City,"Cambiare la struttura urbanistica di una città significa cambiarne la morale.","Raffaele La Capria"
City,"Le città come i sogni sono costruite di desideri e di paure.","Italo Calvino"
Communism,"Il comunismo sovietico avrebbe potuto funzionare, almeno per un po', se avesse avuto un microchip.","Arthur C. Clarke"
Corruption,"I vizi s'imparano anche senza maestri.","Proverbio"
Crow,"Nutri il corvo e ti caverà un occhio.","Proverbio"
Cthulhu,"Non è morto ciò che può vivere in eterno e in strani eoni anche la morte può morire.","H. P. Lovecraft"
Cyberspace,"Governi del Mondo, stanchi giganti di carne e di acciaio, io vengo dal Cyberspazio, la nuova dimora della Mente.","John Perry Barlow"
Cyberspace,"Noi creeremo nel Cyberspazio una civiltà della Mente.","John Perry Barlow"
Cyberspace,"Stiamo creando un mondo in cui tutti possano entrare senza privilegi o pregiudizi.","John Perry Barlow"
Death ray gun,"Non e' pistola che uccide; e' l'uomo che uccide.","Proverbio"
Death star,"Invece di maledire il buio è meglio accendere una candela.","Laozi"
Death star,"Io vivo per soffrire, e vorrei sol morire!","Andrew Matthews"
Death star,"Mi domando se le stelle sono illuminate perché ognuno possa un giorno trovare la sua.","A. de Saint-Exupéry"
Democracy,"È stato detto che la democrazia è la peggior forma di governo, eccezion fatta per tutte quelle forme che si sono sperimentate fino ad ora.",""
Desert eagle,"Sopra il pianoforte c'era un avviso a stampa: ""Non sparate sul pianista. Fa del suo meglio"".","Oscar Wilde"
Desert eagle,"Un computer ti permette di fare errori piu' velocemente che qualsiasi altra invenzione nella storia dell'umanita' - ad eccezione forse delle pistole e della tequila.",""
Dictatorship,"Dittatore benevolo? No, sono solo pigro.","Linus Torvalds"
Dictatorship,"Lascia ch'io pianga\nMia cruda sorte,\nE che sospiri\nLa libertà.","""Rinaldo"" di G. F. Händel"
Diseases,"Essere molto malati ed essere morti sono condizioni molto simili agli occhi della società.","Charles Bukowski"
Diseases,"La peste alle vostre famiglie. A tutte e due.","W. Shakespeare"
Disintegrator,"Voi siete un popolo di dura cervice; se per un momento io venissi in mezzo a te, io ti sterminerei.","Esodo 33:5"
Dove,"Pace sia alla terra e agli spazi eterei!","Atharva Veda Samhita"
Dove,"Si pace frui volumus bellum gerendum est (se vogliamo godere della pace, bisogna fare la guerra).","Cicerone"
Earthquake,"Eppur si muove!","Galileo Galilei"
Empire,"Così la macchina dell'oppressione sempre si volta contro chi la serve.","Italo Calvino"
Empire,"Un grande impero suppone un'autorità dispotica in chi lo governa.","Montesquieu"
Epidemic,"Gran brutta malattia il razzismo. Più che altro strana: colpisce i bianchi, ma fa fuori i neri.","Albert Einstein"
Flamethrower,"La forza bruta non è l'unica alternativa… Ma è efficace.","""Aeon Flux"" (film)"
Force field,"Che la forza sia con te.","Yoda"
Frankenstein,"Io sono una marionetta che riesce a vedere i fili.","""Watchmen"" (film)"
Friendship,"Dai nemici mi guardo io, dagli amici mi guardi il Dio.","Proverbio"
Friendship,"Gli amici tieniteli stretti ma i nemici ancora di più.","Michael Corleone"
Gambling,"Giocatori? Brutta razza.","Costantino Rozzi"
Gambling,"Gran pericolo, gran guadagno.","Proverbio"
Gambling,"Un buon inglese non scherza mai, quando si tratta di una cosa seria come una scommessa.","Jules Verne"
Hand grenade,"Quello che voi chiamate inferno, lui lo chiama casa…","""Rambo"" (film)"
Heavens,"Credi che la divinità possa creare un luogo che non è il Paradiso? Credi che la Caduta sia qualcosa di diverso dal non sapere che siamo in Paradiso?",""
Heavens,"Il vero paradiso non è in cielo, ma sulla bocca di una persona amata.","Théophile Gautier"
Heavens,"Nessuno arriva in paradiso con gli occhi asciutti.","T. Adams"
Hydra,"Per perdere la testa, bisogna averne una.","Albert Einstein"
Inferno,"L'Inferno non è che il Paradiso capovolto.","G. Papini"
Inferno,"Meglio regnare all'inferno che servire in paradiso.","John Milton"
Kronos,"Per evitare di perdere il potere così come era capitato a suo padre Urano (spodestato da Crono stesso), Crono prese a divorare i piccoli figli via via che Rea li partoriva.",""
Land mine,"Le donne possono essere imprudenti, ma l'uomo no!","Don Corleone"
Lawyer,"""Lei è umano?"" - ""Non esattamente: sono un avvocato"".","""Blade-2"" (film)"
Lawyer,"Non esiste modo migliore di esercitare l'immaginazione che lo studio della legge.","Jean Giraudoux"
Leather,"Diffida di ogni impresa che richieda abiti nuovi.","Edward Morgan Forster"
Leather,"Il pudore inventò il vestito per maggiormente godere la nudità.","Carlo Dossi"
Light saber,"La penna è più potente della spada, e decisamente più comoda per scrivere.","""Frankenstein Junior"" (film)"
Light saber,"Le ferite guariscono le parole lasciano il segno.","Isaac Babel'"
Mammon,"Non potete servire a Dio e a Mammona","San Matteo apostolo"
Medusa,"""Vegna Medusa! sì 'l farem di smalto"" dicevan tutte riguardando in giuso: ""mal non vengiammo in Teseo l'assalto""","Dante Alighieri"
Mutant,"Conosci il mutante, uccidi il mutante.","WH40K"
Napalm,"Lo sa che mescolando parti uguali di benzina e succo d'arancia congelato si può fare il Napalm?","""Fight club"" (film)"
Pegasus,"Il sogno, la poesia, l'ottimismo aiutano la realtà più di ogni mezzo a disposizione.","S. Agostino"
Pegasus,"La Fantasia è una naturale attività umana.","J. R. R. Tolkien"
Piranha,"Io sono il predatore più pericoloso che ci sia al mondo.","""Twilght"" (film)"
Plasmagun,"La vita è il carro di Dio e la morte è solo l'ombra della Sua frusta.","Isaac Bashevis Singer"
Poison gas,"La morte mi troverà vivo.","Proverbio"
Politician,"La determinatezza non è il linguaggio della politica.","B. Disraeli"
Politician,"Un politico usa i dati come un ubriaco il lampione: non per la luce ma per il sostegno.","B. Disraeli"
Psycology,"Ci sono molti capri espiatori per i nostri peccati, ma il più popolare è la Provvidenza.","Mark Twain"
Psycology,"Ma l'esibizionista (tale il suo dramma) non ci consente di ignorare la sua vergogna.","Umberto Eco"
Razorvine,"Persino le mani che fanno corone di spine sono da preferire alle mani oziose.","Kahlil Gibran"
Sect,"Fra cent'anni saremo o all'inferno o in paradiso.","Gabriele Amorth"
Sect,"Meglio per l'uomo peccare con fervore anziché compiere buone azioni senza entusiasmo.","Isaac Babel'"
Shub-Niggurath,"Iä! Shub-Niggurath! Il nero Capro della foresta dalla prole innumerevole!","H. P. Lovecraft"
Skeleton,"Non sopporterei di morire due volte. È una cosa così noiosa.","Richard Feynman"
Soul,"Anima tua, borsa tua.","Proverbio"
Soul,"Come corpo ognuno è singolo, come anima mai.","Hermann Hesse"
Space marine,"L'arma più letale al mondo è un marine col suo fucile.","Douglas MacArthur"
Space marine,"L'equipaggio è sacrificabile.","""Alien"" (film)"
Space ship,"Chi vuole guardare bene la terra deve tenersi alla distanza necessaria.","Italo Calvino"
Spell book,"La creazione di un linguaggio genera di per sé una mitologia, perché creazione della lingua e creazione della mitologia sono funzioni correlate.",""
Spore,"Janine: Lei non ha qualche hobby?\nEgon: Colleziono spore, muffe e funghi.","""Acchiappafantasmi"" (film)"
Spore,"Paperinik: Sai tutto delle spore extraterrestri e non sai come rintracciare quel tipo?\nUno: Già! Non sono un elenco telefonico!",""
Styx,"C'è solo un modo di dimenticare il tempo: impiegarlo.","Charles Baudelaire"
Styx,"E tutti quei momenti andranno perduti nel tempo come lacrime nella pioggia.","""Blade Runner"" (film)"
Styx,"In realtà non c'è nessuna storia dell'umanità, c'è soltanto un numero illimitato di storie, che riguardano tutti i possibili aspetti della vita umana.","Karl Popper"
Submarine,"Ricca nave dal porto appena uscita Carca non pur di perle e d'oro e d'ostro, Ma di tutto il tesor del secol nostro, A solcar l'aspro mar di questa vita.",""
Succubus,"Secondo la tradizione demonologica, i succubi apparirebbero agli uomini sotto forma di giovani donne di enorme bellezza, capaci di ineguagliabili arti seduttive ed erotiche derivanti dalla loro natura diabolica.","Wikipedia"
Suffering,"Dalla ferita esce sangue ma entra saggezza.","Proverbio africano"
Suffering,"Il dolore è un'illusione dei sensi. La disperazione è un'illusione della mente.","WH40K"
Surveillance,"Dio ha un piano per te, Gaius. Ha un piano per tutti e per ogni cosa.","""Battlestar Galactica"" (serie tv)"
Surveillance,"L'uomo in nero fuggì nel deserto e il pistolero lo seguì.","Stephen King"
Terrorism,"Conoscere le nostre paure è il miglior metodo per occuparsi delle paure degli altri.","C. G. Jung"
Terrorism,"Per strada tante facce non hanno un bel colore: qui chi non terrorizza si ammala di terrore.","Fabrizio De André"
TNT,"Chi crea deve essere critico però il senso critico deve venire dopo.","Isaac Bashevis Singer"
TNT,"Di buoni propositi è pieno l'inferno.","Saint Bernard of Clairvaux"
Tsunami,"È dolce cosa rammentar nel porto le tempeste passate.","Vincenzo Cuoco"
Vacuum bomb,"Ogni cosa che puoi immaginare, la natura l'ha già creata.","Albert Einstein"
Vacuum bomb,"Una piccola stella, rosso-rosa, il colore del sangue e della distruzione, e con un nome appropriato!\nNemesis!","Isaac Asimov"
War,"Il modo più veloce di finire una guerra è perderla.","George Orwell"
War,"Le guerre tra i popoli saranno più orribili di quelle tra i re.","Winston Churchill"
Witch,"Le streghe hanno smesso di esistere quando noi abbiamo smesso di bruciarle.","Voltaire"
Witch,"Nel passato, gli uomini creavano le streghe, ora creano malati mentali.","Thomas Szasz"
Wolf,"Si può passar sopra a un morso di lupo, ma non a un morso di pecora.","James Joyce"

Snow,"Sui campi e sulle strade\nsilenziosa e lieve\nvolteggiando, la neve cade.\nDanza la falda bianca\nnell'ampio ciel scherzosa,\npoi sul terren si posa stanca.","Ada Negri"
Snow,"Il tempo è come un fiocco di neve, scompare mentre cerchiamo di decidere cosa farne.","Romano Battaglia"
Xmastree,"S'io fossi il mago del Natale farei spuntare un albero di Natale in ogni casa, in ogni appartamento dalle piastrelle del pavimento!","Gianni Rodari"
Xmastree,"Ho messo il regalo per la mia bella sotto l'albero!\nE lei dov'è?\nÈ uscita a cercarlo: la foresta è grande!","Anonimo"

Love bow,"Amore non è guardarci l'un l'altro, ma guardare insieme nella stessa direzione.","Antoine de Saint-Exupéry"
Love bow,"Amor, ch'a nullo amato amar perdona,\nmi prese del costui piacer sì forte,\nche, come vedi, ancor non m'abbandona.\nAmor condusse noi ad una morte:\nCaina attende chi a vita ci spense.","Dante Alighieri"

Postcard,"C'è stato un periodo in cui tutto pareva immobile nella sua perfezione, come se il tempo non fosse in movimento ma fissato sulla cartolina di un'estate felice.","Giorgio Faletti"
Postcard,"Esco dal taxi ed è probabilmente l'unica città che in realtà sembra migliore rispetto alle cartoline: New York.","Milos Forman"

Sheep,"Le pecore hanno delle pupille rettangolari, come le manguste e i polpi. ",
Sheep,"Le pecore vivono in quasi tutti i continenti. ",
Horse,"Nel mondo esistono 160 diverse razze di cavalli. Tra queste, il cavallo arabo è unico in quanto la sua razza è la più pura. ",
Horse,"I cavalli sono in grado di aprire porte chiuse di altri recinti, liberando così gli altri animali prigionieri. ",

Nest,"Una leggenda tedesca dice che Easter Bunny lascia un nido di uova dipinte come un regalo ai bambini buoni." ,
Easter Egg,"Uova dipinte sono dotati durante la Pasqua. Sin dai tempi antichi, l'uovo è un simbolo di fertilità e rinascita." ,
Rabbit,"È possibile vedere le lepri in qualsiasi nazione, perché sono uno dei mammiferi più diffusi sulla Terra.",
Rabbit,"Quando piove, le lepri premono le orecchie alla testa per impedire alla pioggia di entrare e per non ammalarsi.",
Rabbit,"I denti delle lepri crescono continuamente durante la loro vita perché mangiando si consumano.",
Decorated house,"Una festosa casa invernale"
