3D holography,"Yo juego en un mundo de tres dimensiones, mientras que los demás se han quedado en un medio con solo dos.","Bill Gates"
Space marine,"Hay un montón de sitio para todos en el espacio exterior.","Yuri Gagarin"
Space marine,"Si la tierra es el único lugar del universo con vida, el hombre debe llevar la vida a todo el universo.","Anónimo"
Space ship,"""Preparen la nave para velocidad absurda."" - ""Señor, no, la velocidad absurda no, nunca la hemos utilizado... la nave... ¡no la resistira!""","Spaceballs"
Spell book,"La maquinaria que permite producir un texto infinito con un número finito de elementos existe desde hace milenios: es el alfabeto.","Umberto Eco"
Spore,"- ¿Que eres?\n- Aquello en lo que tú me has convertido","Oscar Wilde"
Styx,"Cuando era joven podía recordar cualquier cosa, hubiera sucedido o no.","Mark Twain"
Styx,"Es tan corto el amor y tan largo el olvido.","Pablo Neruda"
Submarine,"La pregunta de si un computador puede pensar no es más interesante que la pregunta de si un submarino puede nadar.","Edsger Dijkstra"
Succubus,"Diablesa de belleza sobrenatural.",""
Suffering,"Guerra, caza y amores, por un placer mil dolores.","Proverbio"
Suffering,"Sufrir es el modo de saber que todo fué real.","Ángel Santos"
Surveillance,"La vigilancia y la lucidez son los senderos de la inmortalidad.","Buda Gautama"
Terrorism,"El fin del terrorismo no es solamente matar ciegamente, sino lanzar un mensaje para desestabilizar al enemigo.","Umberto Eco"
Terrorism,"Los terroristas deben ser privados del oxígeno de la publicidad del que dependen.","Margaret Thatcher"
TNT,"Soy un hombre de gustos simples, me gusta la dinamita, la pólvora y la gasolina.","The Joker (el Guasón)"
TNT,"Hay más dinamita en una idea que en una bomba.","Emilio Visconti"
Tsunami,"No pretendas apagar con fuego un incendio, ni remediar con agua una inundación.","Confucio"
Vacuum bomb,"Cuando me preguntaron sobre algún arma capaz de contrarrestar el poder de la bomba atómica yo sugerí la mejor de todas: la paz.","Albert Einstein"
Vacuum bomb,"Dios no sólo juega a los dados con el Universo; sino que a veces los arroja donde no podemos verlos.","Stephen Hawking"
War,"Jamás hubo una guerra buena o una paz mala.","Benjamin Franklin"
War,"Si no tenemos paz dentro de nosotros, de nada sirve buscarla fuera.","François de La Rochefoucauld"
Witch,"A la hechicera no la dejarás que viva.","Éxodo 22:18"
Witch,"Me agarra la bruja,\nMe lleva a su casa,\nMe vuelve maceta,\nY una calabasa.","""Frida"" (Original Soundtrack)"
Wolf,"Homo homini lupus est.",""

Snow,"Tan imposible es avivar la lumbre con nieve, como apagar el fuego del amor con palabras.","William Shakespeare"
Snow,"La maravilla de un solo copo de nieve supera la sabiduría de un millón de meteorólogos.","Sir Francis Bacon"
Xmastree,"La Navidad agita una varita mágica sobre el mundo, y por eso todo es más suave y más hermoso.","Norman Vincent Peale"
Xmastree,"El recuerdo, como una vela, brilla más en Navidad.","Charles Dickens"

Love bow,"El verdadero amor es como los espíritus: todos hablan de ellos, pero pocos los han visto.","François de La Rochefoucauld"
Love bow,"Amar no es mirarse el uno al otro; es mirar juntos en la misma dirección.","Antoine de Saint-Exupery"

Postcard,"Eso que llaman el amor es el exilio, con una postal del país de vez en cuando.","Samuel Beckett"
Postcard,"A menudo pienso que ganarse la vida como artista es como pasarse todas las vacaciones escribiendo postales a casa.","Patrick Woodroffe"

Sheep,"Las ovejas tienen pupilas rectangulares, igual que las mangostas y los pulpos. ",
Sheep,"Las ovejas habitan prácticamente todos los continentes. ",
Horse,"Hay casi 160 razas distintas de caballos en todo el mundo. Sin embargo, la árabe es excepcional por ser la más pura de todas. ",
Horse,"Los caballos pueden abrir puertas cerradas con pestillo de otras casillas, de modo que liberan a sus compañeros cautivos. ",

Nest,"Una leyenda alemana dice que Conejo de Pascua deja un nido de huevos pintados como un regalo para los niños buenos." ,
Easter Egg,"Huevos pintados son dotados durante Pascua. Desde la antigüedad, el huevo es un símbolo de la fertilidad y el renacimiento." ,
Rabbit,"Se pueden ver liebres en cualquier país, puesto que son uno de los mamíferos más extendidos de la Tierra.",
Rabbit,"Cuando llueve, las liebres pegan las orejas a la cabeza para que no les entre agua; así evitan enfermar.",
Rabbit,"Los dientes de las liebres crecen durante toda su vida, y se desgastan al comer.",
Decorated house,"Una casa festiva e invernal"
